epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.254,1.46599,2.48722,1.97953,0.00907,0.00971,0.0027,0.00053,4.46734,6.65402,4.51362,0.000547614,0.000547614,0.000547614
2,495.178,1.17346,1.89081,1.77872,0.20708,0.35093,0.21443,0.11307,1.31013,3.82004,1.0474,0.00109236,0.00109236,0.00109236
3,735.812,1.16888,1.75355,1.76866,0.46997,0.98233,0.52781,0.37295,1.22394,1.64002,1.59473,0.0016261,0.0016261,0.0016261
4,975.241,1.1225,1.59931,1.72054,0.31294,0.81188,0.36145,0.13954,1.53002,2.91746,2.34787,0.00161749,0.00161749,0.00161749
5,1235,1.09699,1.49967,1.67906,0.50398,1,0.5658,0.50872,0.49249,1.22638,0.75895,0.00160099,0.00160099,0.00160099
6,1474.78,1.04177,1.41109,1.62554,0.49967,1,0.55809,0.55222,0.22839,0.92487,0.3808,0.00158448,0.00158448,0.00158448
7,1714.96,1.0107,1.34567,1.59907,0.49959,1,0.56206,0.53789,0.48221,1.00518,0.76846,0.00156798,0.00156798,0.00156798
8,1954.98,1.00679,1.30235,1.59275,0.49594,0.99029,0.53641,0.41961,0.82395,1.1537,1.06603,0.00155148,0.00155148,0.00155148
9,2194.39,0.94507,1.26094,1.53801,0.50044,0.9995,0.58874,0.47393,0.75192,1.183,1.03964,0.00153497,0.00153497,0.00153497
10,2434.81,0.97662,1.26255,1.56229,0.50134,0.99579,0.5734,0.34062,1.19898,1.34566,1.56803,0.00151847,0.00151847,0.00151847
11,2675.07,0.91624,1.21235,1.52186,0.49858,1,0.5493,0.4129,0.97743,1.11676,1.34001,0.00150197,0.00150197,0.00150197
12,2915.75,0.87027,1.18844,1.48294,0.4997,1,0.53513,0.53386,0.24381,0.85358,0.37854,0.00148546,0.00148546,0.00148546
13,3155.13,0.88707,1.1981,1.49281,0.49989,1,0.60004,0.5484,0.4094,0.88866,0.59995,0.00146896,0.00146896,0.00146896
14,3395.1,0.82718,1.17122,1.44747,0.4666,0.98039,0.56924,0.32515,1.4827,1.48302,1.81607,0.00145246,0.00145246,0.00145246
15,3635.19,0.82869,1.17283,1.45052,0.48121,1,0.55994,0.51121,0.4852,1.02677,0.6467,0.00143595,0.00143595,0.00143595
16,3874.78,0.85058,1.15118,1.462,0.49439,1,0.5534,0.2573,1.4997,1.47801,1.9399,0.00141945,0.00141945,0.00141945
17,4115.09,0.781,1.10714,1.41076,0.49951,1,0.54819,0.43702,0.80879,0.99372,1.09557,0.00140295,0.00140295,0.00140295
18,4354.43,0.80839,1.13768,1.42845,0.50197,0.98377,0.53742,0.40485,0.75209,1.17729,1.04708,0.00138644,0.00138644,0.00138644
19,4591.73,0.77798,1.12861,1.40156,0.49936,1,0.56485,0.499,0.64018,1.00767,0.89146,0.00136994,0.00136994,0.00136994
20,4829.21,0.76104,1.11593,1.39257,0.49932,1,0.60972,0.53978,0.42302,0.93047,0.57833,0.00135344,0.00135344,0.00135344
21,5066.74,0.77314,1.10184,1.39369,0.47181,1,0.58111,0.28533,1.55362,1.50243,2.09141,0.00133693,0.00133693,0.00133693
22,5305.74,0.73781,1.08586,1.37702,0.49988,1,0.6524,0.54606,0.69589,1.00495,0.97345,0.00132043,0.00132043,0.00132043
23,5543.75,0.74169,1.08089,1.37019,0.5118,0.98544,0.71832,0.61217,0.60341,0.94916,0.82499,0.00130393,0.00130393,0.00130393
24,5781.84,0.72623,1.07619,1.35897,0.75607,0.79685,0.81746,0.50158,1.44869,1.13057,2.04273,0.00128742,0.00128742,0.00128742
25,6020.27,0.74004,1.04611,1.36658,0.66339,0.84188,0.82608,0.75006,0.42156,0.85096,0.5459,0.00127092,0.00127092,0.00127092
26,6259.64,0.69751,1.00508,1.32866,0.75922,0.84427,0.86705,0.70842,0.74685,0.9549,0.98489,0.00125442,0.00125442,0.00125442
27,6498.48,0.70456,0.99977,1.32977,0.63138,0.91229,0.85389,0.64902,0.52519,1.22298,0.66967,0.00123791,0.00123791,0.00123791
28,6737.51,0.70321,0.96367,1.33037,0.82561,0.89769,0.91493,0.67727,0.93318,0.97352,1.2447,0.00122141,0.00122141,0.00122141
29,6976.73,0.70601,0.96248,1.33876,0.87014,0.90734,0.94291,0.77272,0.70891,0.701,0.95803,0.00120491,0.00120491,0.00120491
30,7216.11,0.67454,0.92777,1.32044,0.65009,0.904,0.94021,0.81205,0.60303,1.08596,0.78981,0.0011884,0.0011884,0.0011884
31,7454.47,0.67948,0.90651,1.31772,0.91141,0.83442,0.95039,0.87243,0.4725,0.6647,0.62937,0.0011719,0.0011719,0.0011719
32,7694.2,0.6786,0.9159,1.31164,0.90725,0.86996,0.94676,0.73427,0.78348,0.80649,1.02712,0.0011554,0.0011554,0.0011554
33,7932.5,0.67828,0.9075,1.31856,0.81441,0.86408,0.91293,0.7938,0.59599,0.86617,0.81093,0.00113889,0.00113889,0.00113889
34,8170.65,0.66049,0.89627,1.30126,0.82689,0.83722,0.94119,0.72721,0.71629,0.84784,0.96401,0.00112239,0.00112239,0.00112239
35,8408.82,0.65766,0.87743,1.29825,0.8825,0.95353,0.97192,0.88207,0.44448,0.52906,0.62628,0.00110589,0.00110589,0.00110589
